020  000 
01f  ffe 
01f  ffc 
01f  ffb 
01f  ff9 
01f  ff8 
01e  ff6 
01e  ff5 
01d  ff3 
01c  ff2 
01c  ff0 
01b  fef 
01a  fee 
019  fec 
018  feb 
017  fea 
016  fe9 
015  fe8 
014  fe7 
013  fe6 
011  fe5 
010  fe4 
00f  fe3 
00d  fe3 
00c  fe2 
00a  fe1 
009  fe1 
007  fe0 
006  fe0 
004  fe0 
003  fe0 
001  fe0 
000  fe0 
ffe  fe0 
ffc  fe0 
ffb  fe0 
ff9  fe0 
ff8  fe0 
ff6  fe1 
ff5  fe1 
ff3  fe2 
ff2  fe3 
ff0  fe3 
fef  fe4 
fee  fe5 
fec  fe6 
feb  fe7 
fea  fe8 
fe9  fe9 
fe8  fea 
fe7  feb 
fe6  fec 
fe5  fee 
fe4  fef 
fe3  ff0 
fe3  ff2 
fe2  ff3 
fe1  ff5 
fe1  ff6 
fe0  ff8 
fe0  ff9 
fe0  ffb 
fe0  ffc 
fe0  ffe 
fe0  fff 
fe0  001 
fe0  003 
fe0  004 
fe0  006 
fe0  007 
fe1  009 
fe1  00a 
fe2  00c 
fe3  00d 
fe3  00f 
fe4  010 
fe5  011 
fe6  013 
fe7  014 
fe8  015 
fe9  016 
fea  017 
feb  018 
fec  019 
fee  01a 
fef  01b 
ff0  01c 
ff2  01c 
ff3  01d 
ff5  01e 
ff6  01e 
ff8  01f 
ff9  01f 
ffb  01f 
ffc  01f 
ffe  01f 
fff  020 
001  01f 
003  01f 
004  01f 
006  01f 
007  01f 
009  01e 
00a  01e 
00c  01d 
00d  01c 
00f  01c 
010  01b 
011  01a 
013  019 
014  018 
015  017 
016  016 
017  015 
018  014 
019  013 
01a  011 
01b  010 
01c  00f 
01c  00d 
01d  00c 
01e  00a 
01e  009 
01f  007 
01f  006 
01f  004 
01f  003 
01f  001 
